Artist,Title,Year,Sales,Streams,Rating
"Tiffany","I Think We're Alone Now",1988,13961,4388,0.511
"Rod Stewart","Tonight's the Night (Gonna Be Alright)",1976,13929,11967,0.577
"R Kelly","Ignition",2003,13919,6028,0.532
"Elton John","Goodbye Yellow Brick Road",1973,13889,10377,0.833
"Christina Aguilera","Ain't No Other Man",2006,13884,5891,2.596
"D12","My Band",2004,13873,3907,1.887
"Barbra Streisand","The Way We Were",1974,13862,17263,0.519
"C&C Music Factory","Gonna Make You Sweat (Everybody Dance Now)",1991,13852,738,2.767
"Michael Jackson","Thriller",1984,13844,7394,0.556
"Rihanna","Take a Bow",2008,13843,5602,0.538
"Enigma","Return to Innocence",1994,13814,5185,2.024
"Bob Dylan","Like a Rolling Stone",1965,13788,15635,0.511
"Uncle Kracker","Follow Me",2001,13781,2454,1.025
"Gwen Stefani & Akon","The Sweet Escape",2007,1377,5367,1.524
"The Rolling Stones","Miss You",1978,1376,8193,0.524
"Champs","Tequila",1958,13733,9618,0.534
"Wings","Silly Love Songs",1976,13695,1138,0.525
"George Michael","Jesus to a Child",1996,13664,2642,1.208
"INXS","Need You Tonight",1988,13662,9113,1.052
"Amy Winehouse","Rehab",2007,13659,8964,1.348
"Mariah Carey","Dreamlover",1993,13646,7792,3.033
"Kate Bush","Wuthering Heights",1978,13643,1764,0.525
"The Four Tops","Reach Out (I'll Be There)",1966,13629,15097,0.510
"Babylon Zoo","Spaceman",1996,13598,2,0.643
"New Vaudeville Band","Winchester Cathedral",1966,13597,8979,0.522
"Stevie Wonder","Superstition",1973,13596,14306,0.516
"Lauryn Hill","Doo Wop (That Thing)",1998,13593,7654,2.553
"Eminem","The Real Slim Shady",2000,13591,5371,0.510
"Madonna","Justify My Love",1990,13586,6037,1.881
"The B52s","Love Shack",1989,13585,8976,1.228
"Elton John","Can You Feel the Love Tonight",1994,1356,7535,1.761
"Al Green","Let's Stay Together",1972,13542,17293,0.545
"Diana King","Shy Guy",1995,13513,2363,3.000
"Jennifer Paige","Crush",1998,13492,398,0.611
"Prince","Batdance",1989,13487,4703,3.000
"Kaoma","Lambada",1989,13481,1773,2.458
"The Beatles","Something",1969,1348,11343,0.567
"Patti LaBelle","Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?)",1975,13475,11545,0.526
"Baccara","Yes Sir, I Can Boogie",1977,13461,2,0.512
"U2","Discotheque",1997,13438,155,2.572
"Shania Twain","You're Still the One",1998,13437,7503,1.751
"George Michael & Elton John","Don't Let the Sun Go Down On Me",1992,1343,5089,1.311
"Britney Spears","Womanizer",2008,13413,5138,0.526
"The Kalin Twins","When",1958,13412,1956,0.530
"Madonna","This Used to Be My Playground",1992,1341,6582,1.512
"O-Zone","Dragostea Din Tei",2004,13406,1114,0.700
"Rosemary Clooney","Hey There",1954,13395,11367,0.532
"U2","Vertigo",2004,13388,3647,2.658
"Pras Michel","Ghetto Supastar (That is What You Are)",1998,13356,1848,0.542
"Bellamy Brothers","Let Your Love Flow",1976,13348,5075,0.511
"Andy Gibb","Shadow Dancing",1978,13348,10884,0.577
"Britney Spears & Madonna","Me Against the Music",2003,1334,1745,2.529
"Destiny's Child","Survivor",2001,13339,4958,2.023
"Madonna","American Pie",2000,13298,177,1.667
"Chris Montez","Let's Dance",1962,13294,4847,0.512
"Shakira","Underneath Your Clothes",2002,13291,3021,0.537
"Spice Girls","2 Become 1",1997,13264,3865,1.700
"Joe Dolce","Shaddup You Face",1981,13248,159,0.512
"Madonna","Crazy For You",1985,13231,7135,0.537
"The Carpenters","Please Mr Postman",1975,1322,607,0.534
"Will Smith","Wild Wild West",1999,13204,4733,1.284
"Madonna","La Isla Bonita",1987,13182,3049,0.514
"Prince","Kiss",1986,1318,8926,0.527
"Janet Jackson","All For You",2001,13171,489,2.833
"Tommy Roe","Dizzy",1969,13165,9172,0.512
"Red Hot Chili Peppers","Dani California",2006,13155,5201,3.033
"Kylie Minogue","The Loco-Motion",1988,13155,2822,1.000
"Depeche Mode","Enjoy the Silence",1990,13151,5765,0.514
"Vanessa Williams","Save the Best For Last",1992,13142,7019,1.936
"George Baker Selection","Una Paloma Blanca",1975,13137,108,0.010
"Jennifer Lopez","Get Right",2005,1313,3404,2.573
"Bon Jovi","It's My Life",2000,13124,188,2.500
"Akon","Don't Matter",2007,13109,538,0.553
"Tony Bennett","Stranger in Paradise",1954,13108,6787,0.526
"Elton John","Nikita",1985,13097,2178,0.611
"John Lennon","Instant Karma",1970,13085,9121,0.515
"Glenn Miller","(I've Got a Gal In) Kalamazoo",1942,13073,10848,0.516
"The Scorpions","Wind of Change",1991,1307,4411,1.061
"Neil Diamond","Cracklin' Rosie",1970,13049,8863,0.537
"Daniel Boone","Beautiful Sunday",1972,1304,3191,1.500
"Spice Girls","Say You'll Be There",1996,13037,3975,1.213
"Carole King","It's Too Late",1971,13029,17069,0.833
"Huey Lewis & The News","The Power of Love",1985,1301,7993,0.511
"Paula Abdul & The Wild Pair","Opposites Attract",1990,12993,4992,1.361
"Debbie Boone","You Light Up My Life",1977,12989,14272,0.843
"50 Cent & Olivia","Candy Shop",2005,12977,4606,1.081
"Bruce Springsteen","Dancing in the Dark",1984,12974,722,0.515
"Conway Twitty","It's Only Make Believe",1958,12947,55,0.512
"Queen","We Are the Champions",1977,12925,9162,0.563
"Coldplay","Speed of Sound",2005,12924,4601,2.582
"Heart","All I Wanna Do is Make Love to You",1990,12903,4469,1.911
"Harry Belafonte","Banana Boat Song",1957,12898,5946,0.553
"The Backstreet Boys","Quit Playing Games (With My Heart)",1997,12893,4222,1.067
"Paul Anka","Lonely Boy",1959,12893,5162,0.512
"Mr Acker Bilk","Stranger On the Shore",1962,12886,8326,0.527
"The Fray","How to Save a Life",2007,12883,6709,0.512
"Eric Clapton","Change the World",1996,12882,5846,3.000
"Brotherhood of Man","Save All Your Kisses For Me",1976,12868,537,0.010
"Lloyd Price","(You've Got) Personality",1959,12868,6552,0.523
"Artie Shaw","Begin the Beguine",1938,12866,11231,0.531
"Billy Joel","Uptown Girl",1983,12846,5479,0.571
"Gilbert O'Sullivan","Alone Again (Naturally)",1972,12843,1042,2.014
"Mika","Grace Kelly",2007,12841,1809,1.386
"Leo Sayer","When I Need You",1977,12837,609,0.643
"The Marcels","Blue Moon",1961,12828,6313,1.000
"U2","One",1992,12827,695,0.527
"Art Mooney","I'm Looking Over a Four Leaf Clover",1948,12817,867,0.643
"Madonna","Live to Tell",1986,12814,588,0.519
"Justin Timberlake","My Love",2006,12793,6841,0.563
"LeAnn Rimes","How Do I Live?",1998,12788,7396,1.572
"Mariah Carey & Whitney Houston","When You Believe",1998,1276,4746,2.012
"Soul Asylum","Runaway Train",1993,12755,5833,1.065
"Santa Esmerelda","Don't Let Me Be Misunderstood",1977,12754,3981,0.667
"Kylie Minogue","I Should Be So Lucky",1988,12741,736,0.529
"Jennifer Lopez","Jenny From the Block",2002,12718,3182,2.573
"Beyonce","Single Ladies (Put A Ring On It)",2009,12715,9497,0.591
"The Verve","Bitter Sweet Symphony",1997,12708,6559,0.538
"The Temptations","My Girl",1965,12688,17669,0.563
"Bananarama","Venus",1986,12677,4679,0.519
"Artie Shaw","Frenesi",1940,12661,10072,0.600
"Jimmy Dorsey","Tangerine",1942,12653,8662,0.611
"Big Mountain","Baby, I Love Your Way",1994,12643,4215,2.333
"Lifehouse","Hanging by a Moment",2001,12643,7396,1.041
"Emilia","Big Big World",1998,1264,1024,1.118
"The Backstreet Boys","Shape of My Heart",2000,12633,1655,2.622
"The Beach Boys","Kokomo",1988,12628,6016,2.532
"Glenn Miller","Moonlight Cocktail",1942,12613,8715,0.520
"Justin Timberlake","What Goes Around Comes Around",2007,12607,7139,1.035
"Perez Prado","Patricia",1958,12603,4817,0.534
"Donna Summer","Love to Love You Baby",1976,12581,818,0.518
"Snoop Dogg & Pharrell Williams","Drop it Like It's Hot",2004,12565,7472,0.531
"Destiny's Child","Independent Women Part 1",2000,12559,4375,1.139
"The Beatles","Day Tripper",1965,12545,51,0.553
"Maroon 5","She Will Be Loved",2004,12545,5514,1.093
"Phil Collins","Two Hearts",1988,12503,5474,2.050
"Christie","Yellow River",1970,12499,3439,0.700
"Macy Gray","I Try",2000,12499,4472,0.600
"Louis Armstrong","Hello Dolly",1964,12491,11851,0.559
"Percy Faith","Delicado",1952,12484,7887,0.667
"Sheena Easton","Morning Train (Nine to Five)",1981,12459,7223,0.524
"Mariah Carey","Honey",1997,12456,5037,2.699
"Cyndi Lauper","Time After Time",1984,12455,6976,1.063
"Color Me Badd","I Wanna Sex You Up",1991,1245,5435,2.569
"Barbra Streisand","Love Theme From 'A Star is Born' (Evergreen)",1977,12442,11322,0.536
"Whitney Houston","Greatest Love of All",1986,12433,6785,1.500
"Milli Vanilli","Girl, I'm Gonna Miss You",1989,12431,4407,1.633
"Perry Como","Till The End of Time",1945,12431,10006,0.511
"Andy Gibb","I Just Wanna Be Your Everything",1977,12426,9832,0.700
"Mary J Blige","Family Affair",2001,12421,6731,0.700
"Ace of Base","Don't Turn Around",1994,12408,5504,1.632
"Mike & The Mechanics","The Living Years",1989,12394,5365,2.083
"Nelly","My Place",2004,12385,3074,2.033
"Kelly Clarkson","Because of You",2006,12384,604,0.583
"Simon & Garfunkel","Mrs Robinson",1968,12379,13986,0.571
"Christopher Cross","Arthur's Theme (Best That You Can Do)",1981,12372,11625,0.600
"George Michael","One More Try",1988,12351,6067,1.000
"Linkin Park","In the End",2001,12335,6757,0.833
"The Doobie Brothers","What a Fool Believes",1979,12335,11651,0.537
"Milli Vanilli","Girl, You Know It's True",1988,12325,4362,1.218
"Perry Como","Prisoner of Love",1946,12312,8028,0.514
"Donna Lewis","I Love You Always Forever",1996,12304,4891,2.048
"Gilbert O'Sullivan","Clair",1972,12302,5092,0.538
"Rod Stewart","Baby Jane",1983,123,1081,0.515
"Dolly Parton","9 to 5",1981,12286,10508,0.515
"Kay Kyser","The Woody Woodpecker Song",1948,12284,7391,0.512
"Rihanna","Pon De Replay",2005,1228,5241,1.242
"The Backstreet Boys","As Long As You Love Me",1997,12265,2681,1.582
"The Hollies","The Air That I Breathe",1974,12263,5964,0.591
"Dean Martin","That's Amore",1953,12254,8717,0.528
"Bing Crosby","I'll be seeing you",1944,1225,7679,0.512
"Nelly","Hot in Herre",2002,12232,602,0.537
"Rod Stewart","Sailing",1975,12228,1233,0.537
"Jimmy Dorsey","Besame Mucho",1944,12218,8384,0.600
"Sean Paul","Temperature",2006,12214,8683,1.027
"Michael Jackson & Siedah Garrett","I Just Can't Stop Loving You",1987,12213,4908,0.514
"Usher & Alicia Keys","My Boo",2004,12209,5628,2.053
"DNA & Suzanne Vega","Tom's Diner",1990,12209,48,1.037
"Silver Convention","Fly Robin Fly",1975,12208,7776,0.643
"Will Smith","Gettin' Jiggy Wit It",1998,12198,5588,1.157
"Evanescence","My Immortal",2004,12197,4465,1.068
"George Harrison","Got My Mind Set On You",1988,12196,3745,0.523
"Fergie","London Bridge",2006,12192,4747,2.108
"MC Sar & The Real McCoy","Another Night",1994,12191,6185,1.606
"Sara Bareilles","Love Song",2008,12174,5906,0.700
"Donna Summer","Bad Girls",1979,1216,9456,0.548
"Tommy Dorsey & Frank Sinatra","I'll Never Smile Again",1940,12157,9655,0.526
"Duran Duran","Ordinary World",1993,12141,4519,1.967
"The Village People","In the Navy",1979,12139,5235,0.516
"Fred Astaire","The Way You Look Tonight",1936,12135,895,0.538
"George Michael","Fast Love",1996,12124,261,2.043
"The Cardigans","Lovefool",1997,12104,2626,2.867
"The Diamonds","Little Darlin'",1957,12099,6724,0.531
"Barry White","You're the First, the Last, My Everything",1975,12097,6784,0.543
"Van McCoy","The Hustle",1975,12093,9426,0.532
"Train","Drops of Jupiter (Tell Me)",2001,12082,7566,0.516
"Rose Royce","Car Wash",1977,12082,8859,0.520
"Chris Brown & Juelz Santana","Run It",2006,12069,4834,0.567
"Marvin Gaye","(Sexual) Healing",1983,12068,7534,0.524
"Evelyn Knight","A Little Bird Told Me",1949,12063,7161,0.519
"Destiny's Child","Say My Name",2000,12059,7412,0.517
"Usher & Young Jeezy","Love In This Club",2008,12057,7185,0.556
"Janis Joplin","Me & Bobby McGee",1971,12052,13251,0.540
"Madonna","Ray of Light",1998,12048,7708,0.700
"Paula Abdul","Rush Rush",1991,12026,6614,2.731
"Jay-Z & Linkin Park","Numb/Encore",2005,12018,3563,2.061
"U2 & Green Day","The Saints are Coming",2006,12017,72,0.530
"Fred Astaire & Leo Reisman","Night & Day",1932,12013,10331,0.548
"Shirley & Company","Shame, Shame, Shame",1975,12007,4772,0.519
"OMC","How Bizarre",1996,11998,1092,1.033
"The Fireballs","Sugar Shack",1963,11995,10457,0.511
"Celine Dion","The Power of Love",1994,11974,5384,1.649
"Eddie Fisher","I Need You Now",1954,11973,9492,0.512
"K-Ci & JoJo","All My Life",1998,11967,4001,1.573
"Youssou N'Dour & Neneh Cherry","7 Seconds",1994,11958,2261,0.750
"Nazareth","Love Hurts",1976,11926,5344,0.524
"America","Horse With No Name",1972,11924,895,0.559
"The Jackson 5","I Want You Back",1970,11919,14128,0.611
"Elvis Presley","Love Me Tender",1956,11907,1095,0.550
"Brenda Lee","I'm Sorry",1960,11894,9358,0.529
"Sean Paul","Get Busy",2003,1189,4999,1.269
"Frankie Laine","That Lucky Old Sun (Just Rolls Around Heaven All Day)",1949,11875,9516,0.542
"Whitney Houston","Exhale (Shoop Shoop)",1995,11866,4566,2.048
"Madonna","Die Another Day",2002,11834,3284,1.639
"Madonna","Beautiful Stranger",1999,11827,372,1.242
"Prince","Purple Rain",1984,11825,719,0.529
"Enya","Orinoco Flow",1988,118,2772,1.123
"Abba","Chiquitita",1979,11787,1282,1.106
"Wings","Band On the Run",1974,11786,7745,0.563
"Mariah Carey","Heartbreaker",1999,11755,4044,2.544
"Harry James","Sleepy Lagoon",1942,11746,7984,0.513
"Next","Too Close",1998,11742,8242,1.051
"1910 Fruitgum Co","Simon Says",1968,11731,6934,0.519
"The Partridge Family","I Think I Love You",1970,11729,8734,0.523
"Leo Sayer","You Make Me Feel Like Dancing",1977,11722,6686,0.538
"Perry Como","Wanted",1954,11722,9093,0.517
"The Carpenters","Top of the World",1973,11721,6497,1.095
"Madonna","Express Yourself",1989,11714,5214,1.543
"DJ Jazzy Jeff & The Fresh Prince","Boom! Shake the Room",1993,11707,2365,1.523
"Chaka Khan","I Feel For You",1984,1168,6235,0.519
"The Foundations","Build Me Up Buttercup",1969,11672,12339,0.521
"Britney Spears","Everytime",2004,1165,3416,1.027
"Sly & The Family Stone","Family Affair",1971,1165,1277,1.052
"Paul Whiteman","Whispering",1920,11646,9963,0.583
"The Beatles","Michelle",1966,11636,2378,0.643
"Estelle & Kanye West","American Boy",2008,11635,4471,0.515
"Mariah Carey","I'll Be There",1992,11633,4498,2.790
"Usher","Burn",2004,11621,6415,0.550
"Gorillaz","Feel Good Inc",2005,11617,6757,1.122
"Neil Diamond","Song Sung Blue",1972,11607,6992,0.520
"Engelbert Humperdinck","The Last Waltz",1967,11587,1654,0.512
"Timbaland & Nelly Furtado & Justin Timberlake","Give it to Me",2007,11575,439,1.102
"Mario Winans","I Don't Wanna Know",2004,11567,3469,0.534
"The Backstreet Boys","Everybody (Backstreet's Back)",1997,11557,426,1.038
"Christina Aguilera","Hurt",2006,11551,307,0.514
"Jimmie Rodgers","T For Texas (Blue Yodel No 1)",1928,11535,888,0.516
"Wilson Phillips","Hold On",1990,11527,7369,2.588
"Peggy Lee","Manana (Is Soon Enough For Me)",1948,11526,8646,0.591
"George Gershwin","Rhapsody in Blue",1924,11503,8335,0.536
"Little Richard","Long Tall Sally",1956,11498,8748,0.520
"Benny Goodman","Sing, Sing, Sing (With A Swing)",1937,11496,813,0.519
"New Kids On The Block","Step By Step",1990,11479,5117,1.559
"2 Unlimited","No Limit",1993,11448,713,1.169
"Hoobastank","The Reason",2004,11447,7579,1.123
"Eddie Fisher","Oh My Papa (O Mein Papa)",1954,11427,9409,0.527
"Savage Garden","I Want You",1997,11424,4455,2.066
"The Mamas & The Papas","California Dreamin'",1966,11421,15701,0.548
"The Black Eyed Peas","Meet Me Half Way",2009,11415,4516,0.516
"Madonna","Secret",1994,11411,4006,2.015
"Michael Jackson","Bad",1987,11411,386,0.571
"Lisa Loeb & Nine Stories","Stay (I Missed You)",1994,11407,7482,1.594
"Blondie","Rapture",1981,11392,8339,0.521
"Mariah Carey","Hero",1993,11389,6664,2.667
"Highwaymen","Michael Row the Boat",1961,11388,3495,0.526
"Debbie Reynolds","Tammy",1957,1138,6184,0.517
"Guess Who","American Woman",1970,11378,9159,0.531
"Mario Lanza","Be My Love",1951,1137,103,0.559
"Nini Rosso","Il Silenzio",1965,11348,15,0.516
"Madonna","I'll Remember",1994,11348,56,1.723
"The Jackson 5","I'll Be There",1970,11342,14887,0.548
"The Beatles","The Long & Winding Road",1970,11337,9901,1.362
"Technotronic","Get Up (Before the Night is Over)",1990,11329,3157,1.250
"Enya","Only Time",2001,11322,2844,2.011
"Rick Astley","Together Forever",1988,11308,3619,1.030
"Pop Tops","Mammy Blue",1971,11284,718,0.536
"Inner Circle","Sweat (A La La La La Song)",1992,11269,2113,1.731
"Billy Ray Cyrus","Achy Breaky Heart",1992,11264,5271,0.511
"Michael Jackson","Remember the Time",1992,11264,4884,2.049
"Aaliyah","Try Again",2000,11256,5804,0.591
"Janet Jackson","Escapade",1990,11245,6019,3.000
"Meredith Brooks","Bitch",1997,11242,4184,1.673
"2Pac & Dr Dre","California Love",1996,11236,3697,1.038
"Don Henley","The Boys of Summer",1985,11223,8746,0.511
"EMF","Unbelievable",1991,11216,7154,2.215
"Ne-Yo","So Sick",2006,11212,537,1.596
"Steve Winwood","Higher Love",1986,11203,8944,0.513
"Connie Francis","Who's Sorry Now?",1958,11202,4165,0.519
"Simply Red","If You Don't Know Me By Now",1989,11198,4676,1.822
"Kelis","Milkshake",2004,11157,5667,0.700
"Technotronic","Pump Up the Jam",1989,11155,4936,2.211
"The Monkees","A Little Bit Me, a Little Bit You",1967,11155,7422,0.516
"Al Hibbler","Unchained Melody",1955,11154,5051,0.511
"Crazy Town","Butterfly",2001,11154,3293,0.559
"TLC","Creep",1995,11153,7367,1.903
"The Beatles","Ob-La-Di, Ob-La-Da",1969,11151,1256,0.643
"Carl Perkins","Blue Suede Shoes",1956,11148,12289,0.511
"Four Aces","Three Coins in the Fountain",1954,11132,8166,0.591
"Beyonce","Check On It",2006,11127,5859,1.084
"Herman's Hermits","No Milk Today",1966,11115,2013,0.534
"Bobby Brown","Humpin' Around",1992,11103,4299,3.000
"Sheena Easton","For Your Eyes Only",1981,11102,6232,0.529
"Bee Gees","You Win Again",1987,11093,713,0.511
"Little Peggy March","I Will Follow Him",1963,11089,7227,0.543
"Jewel","You Were Meant for Me",1997,11058,8141,1.053
"Whitney Houston","Saving All My Love For You",1985,11054,5049,1.027
"Savage Garden","I Knew I Loved You",1999,11042,4751,1.924
"Frankie Laine","I Believe",1953,11039,505,0.538
"The Bangles","Manic Monday",1986,11032,4868,0.511
"Alanis Morissette","Hands Clean",2002,1103,2293,2.546
"Eric Prydz","Call On Me",2004,1101,833,0.525
"Kenny Rogers","Lady",1980,1101,9927,0.643
"The Platters","My Prayer",1956,11007,8048,0.545
"Kyu Sakamoto","Sukiyaki",1963,11006,5327,0.538
"Donny Osmond","Puppy Love",1972,11001,5423,0.010
"Johnny Nash","I Can See Clearly Now",1972,11,8907,0.532
"Maroon 5","This Love",2004,10997,5009,1.761
"The Proclaimers","I'm Gonna Be (500 miles)",1993,10996,5011,0.515
"Elvis Presley","(Let Me Be Your) Teddy Bear",1957,10984,6166,0.512
"Jay-Z & Alicia Keys","Empire State Of Mind",2009,10975,7903,0.511
"Avril Lavigne","Sk8er Boi",2002,10974,4366,1.844
"Charles & Eddie","Would I Lie to You?",1992,10971,1604,1.096
"No Mercy","Where Do You Go?",1996,10968,3084,1.031
"Hall & Oates","Maneater",1982,10962,6409,0.519
"Sister Sledge","We Are Family",1979,10961,9627,0.526
"Elton John","Philadelphia Freedom",1975,10958,9958,0.583
"La Bouche","Be My Lover",1995,10956,3618,1.035
"The Andrews Sisters","I Can Dream, Can't I?",1950,10953,9574,0.524
"KC & The Sunshine Band","Please Don't Go",1980,10946,4675,0.526
"Glenn Medeiros","Nothing's Gonna Change My Love For You",1987,1094,1605,0.515
"REO Speedwagon","Keep On Loving You",1981,10931,9152,0.548
"Petula Clark","This is My Song",1967,10925,511,0.537
"Seal","Crazy",1991,10921,3988,1.099
"Love Unlimited","Love's Theme",1974,10913,7639,0.625
"Los Bravos","Black is Black",1966,10906,6121,0.577
"Paula Abdul","Straight Up",1989,10906,5766,2.200
"Beyonce","Halo",2009,1089,4928,1.000
"Leroy Anderson","Blue Tango",1952,1088,10015,0.533
"Christina Aguilera","What a Girl Wants",2000,10876,4211,1.238
"Jane Birkin & Serge Gainsbourg","Je T'Aime (Moi Non Plus)",1969,10866,1733,0.521
"The Pussycat Dolls","Stickwitu",2005,10865,4391,0.521
"Roy Orbison","Crying",1961,10858,1037,0.559
"Baltimora","Tarzan Boy",1985,10851,2883,0.510
"Paul Mauriat & his Orchestra","Love Is Blue (L'Amour Est Bleu)",1968,10834,1015,0.700
"Crowded House","Don't Dream It's Over",1987,10828,4961,1.080
"Fred Astaire","Cheek to Cheek",1935,10825,9276,0.526
"Stevie Wonder","Sir Duke",1977,10825,7527,0.533
"Whitney Houston","I'm Your Baby Tonight",1990,10809,4446,2.037
"Amy Grant","Baby Baby",1991,10803,6891,1.690
"Singing Nun (Soeur Sourire)","Dominique",1963,10803,5755,0.534
"Kevin Lyttle","Turn Me On",2004,10801,384,1.272
"Baha Men","Who Let the Dogs Out?",2000,10798,2549,1.212
"Crystal Waters","Gypsy Woman (La Da Dee)",1991,10778,2435,2.680
"Peaches & Herb","Reunited",1979,10777,7966,0.567
"Luther Vandross & Mariah Carey","Endless Love",1994,10772,4388,1.520
"Kool & The Gang","Cherish",1985,1077,3962,1.055
"Les Paul & Mary Ford","Mockin' Bird Hill",1951,10769,5069,0.524
"Chris Brown","Forever",2008,10765,5117,0.625
"Eddy Grant","Electric Avenue",1983,10763,5337,0.524
"Mariah Carey","All I Want For Christmas is You",1995,1073,3139,3.034
"Colbie Caillat","Bubbly",2007,10727,4357,1.267
"Kay Kyser","On a Slow Boat to China",1948,10712,2571,0.517
"Maroon 5","Makes Me Wonder",2007,10711,3763,2.782
"Hall & Oates","I Can't Go For That (No Can Do)",1982,10708,8341,0.525
"The New Radicals","You Get What You Give",1999,1069,2313,2.556
"The Turtles","Happy Together",1967,10688,12094,0.515
"Mr Mister","Broken Wings",1985,10682,5176,0.532
"Bessie Smith","Down Hearted Blues",1923,1068,9141,0.530
"Olivia Newton-John","Hopelessly Devoted to You",1978,10663,6076,0.526
"Britney Spears","Gimme More",2007,10662,2758,1.287
"Paul McCartney","Another Day",1971,10651,5014,0.530
"Patti LaBelle & Michael McDonald","On My Own",1986,10629,6121,0.591
"Madonna","Don't Cry For Me Argentina",1997,10593,2503,1.155
"Marvin Gaye","Let's Get it On",1973,10593,16494,0.520
"Creedence Clearwater Revival","Travellin' Band",1970,10591,8125,0.512
"Shakespear's Sister","Stay",1992,1059,3789,0.530
"Connie Francis","Everybody's Somebody's Fool",1960,10589,4477,0.600
"George Michael","I Want Your Sex",1987,10582,4816,0.518
"Madonna","True Blue",1986,10568,385,0.511
"Natasha Bedingfield","These Words",2004,10564,3597,0.538
"The Four Seasons","Big Girls Don't Cry",1962,10556,8832,0.513
"The Tremeloes","Silence is Golden",1967,10547,347,0.513
"Neil Sedaka","Oh Carol",1959,10545,1325,0.537
"Peter Cetera","Glory of Love",1986,10543,6067,0.538
"Terence Trent D'Arby","Wishing Well",1987,10537,622,0.529
"Coldplay","Clocks",2003,10537,6243,0.517
"Justin Timberlake","Rock Your Body",2003,10521,4321,0.523
"The Pet Shop Boys","Go West",1993,1052,701,1.912
"Harry James","I've Heard That Song Before",1943,10519,10092,0.519
"Walter Murphy & The Big Apple Band","A Fifth of Beethoven",1976,10511,7995,0.522
"Dire Straits","Sultans of Swing",1979,10508,6828,0.556
"BLACKstreet & Dr Dre","No Diggity",1996,10504,5616,1.039
"The Pussycat Dolls","Buttons",2006,105,4783,0.537
"Tommy James & the Shondells","Mony Mony",1968,10492,9035,0.528
"Deee-Lite","Groove is in the Heart",1990,10481,6896,1.105
"The Emotions","Best of My Love",1977,10478,9501,0.667
"Yazz & The Plastic Population","The Only Way is Up",1988,10476,51,0.515
"The Hollies","Long Cool Woman in a Black Dress",1972,10457,7352,0.513
"Ne-Yo","Because of You",2007,10428,3843,3.013
"Madonna","Sorry",2006,10427,1468,1.114
"George Michael","Praying For Time",1990,10424,3406,2.024
"Spandau Ballet","TRUE",1983,10409,4102,0.540
"Rockwell","Somebody's Watching Me",1984,10403,4647,0.532
"Fool's Garden","The Lemon Tree",1996,10386,2,0.625
"Free","All Right Now",1970,10385,7373,0.510
"The New Seekers","I'd Like to Teach the World to Sing",1972,10372,4752,1.510
"The Royal Scots Dragoon Guards","Amazing Grace",1972,10364,1699,0.010
"U2","The Fly",1991,10346,1218,1.262
"Spice Girls","Goodbye",1998,10341,2061,1.039
"Lumidee","Never Leave You (Uh Oooh Uh Oooh)",2003,10339,3455,0.536
"Dido","Thank You",2001,10322,4174,2.137
"Linkin Park","What I've Done",2007,10319,4198,2.084
"Foreigner","Waiting For a Girl Like You",1981,10319,8007,0.530
"The Beatles","Eight Days a Week",1965,10303,982,0.545
"The Backstreet Boys","Incomplete",2005,10302,3407,1.377
"Elton John","Daniel",1973,103,6169,0.545
"Chris Brown","With You",2008,10296,5923,0.563
"Mouth & MacNeal","How Do You Do!",1972,10294,4288,0.511
"Beyonce & Jay-Z","Deja Vu",2006,10291,3021,2.583
"Steam","Na Na Hey Hey (Kiss Him Goodbye)",1970,1029,8967,0.513
"White Town","Your Woman",1997,1029,3881,0.529
"Michael Jackson","Ben",1972,1028,7765,0.600
"Michael Jackson","Blood on the Dance Floor",1997,10259,1237,2.010
"Neil Sedaka","Breaking Up is Hard to Do",1962,10258,6587,0.524
"Johnny Mercer","On the Atchison, Topeka & the Santa Fe",1945,10258,9552,0.517
"Bee Gees","You Should Be Dancing",1976,10252,6489,0.533
"The Andrews Sisters","Bei Mir Bist Du Schoen",1938,10247,7329,0.514
"The Beatles","Twist & Shout",1964,10244,10225,0.556
"Vaughn Monroe","Ballerina",1947,10243,821,0.571
"Billy Joel","Just the Way You Are",1978,10238,9255,1.055
"Sammy Kaye","Daddy",1941,10234,7279,0.512
"Lynyrd Skynyrd","Sweet Home Alabama",1974,10212,12188,0.514
"Dusty Springfield & The Pet Shop Boys","What Have I Done to Deserve This",1987,10203,4365,0.530
"50 Cent & Justin Timberlake","Ayo Technology",2007,10198,277,1.048
"Modjo","Lady (Hear Me Tonight)",2000,10174,1273,1.049
"Gene Austin","Bye Bye, Blackbird",1926,10174,8658,0.556
"The Byrds","Turn! Turn! Turn! (To Everything There is a Season)",1965,10157,12094,0.512
"The Ink Spots","We Three (My Echo, My Shadow & Me)",1941,10157,551,0.511
"Madonna","Don't Tell Me",2000,10139,3407,1.115
"Celine Dion","Think Twice",1995,10139,511,0.519
"KC & The Sunshine Band","(Shake, Shake, Shake) Shake Your Booty",1976,10138,644,0.527
"Cutting Crew","(I Just) Died in Your Arms Tonight",1986,10133,3815,0.516
"Missy 'Misdemeanor' Elliott","Work It",2002,10105,6366,0.625
"Madonna","American Life",2003,10104,727,2.537
"Rosemary Clooney","Mambo Italiano",1954,10101,3144,0.512
"Carly Simon","Nobody Does it Better",1977,10097,8106,0.545
"Whitney Houston","One Moment in Time",1988,10094,2283,1.065
